date,pcTime,msFromStart,arduinoNumber,spoutNumber,licksCum,eventsCum,rewardsCum,randomSpout
20210510,134906,27908,0,0,1,0,0,0
20210510,134906,28311,0,0,2,0,0,0
20210510,134907,28610,0,0,3,0,0,0
20210510,134907,28775,1,0,1,0,0,0
20210510,134907,28877,0,0,4,0,0,0
20210510,134907,29224,0,0,5,0,0,0
20210510,134908,29990,1,0,2,0,0,0
20210510,134908,30027,0,0,5,1,1,0
20210510,134908,30109,1,0,3,0,0,0
20210510,134908,30194,1,0,4,0,0,0
20210510,134908,30294,1,0,5,0,0,0
20210510,134909,31094,1,0,5,1,1,0
20210510,134909,31305,1,0,6,1,1,0
20210510,134910,31592,1,0,7,1,1,0
20210510,134911,32699,0,2,1,0,0,0
20210510,134911,33100,0,2,2,0,0,0
20210510,134912,33632,0,2,3,0,0,0
20210510,134912,34000,0,2,4,0,0,0
20210510,134912,34360,0,2,5,0,0,0
20210510,134913,35163,0,2,5,1,1,0
20210510,134935,57498,1,0,8,1,1,0
20210510,134936,57776,1,0,9,1,1,0
20210510,134936,58199,1,0,10,1,1,0
20210510,134936,58432,1,0,11,1,1,0
20210510,134937,58650,1,0,12,1,1,0
20210510,134937,59464,1,0,12,2,2,0
20210510,135003,84744,1,0,13,2,2,0
20210510,135028,110218,1,0,14,2,2,0
20210510,135028,110400,1,0,15,2,2,0
20210510,135029,111034,1,0,16,2,2,0
20210510,135029,111384,1,0,17,2,2,0
20210510,135030,112185,1,0,17,3,3,0
20210510,135100,141552,0,2,6,1,1,0
20210510,135100,142052,0,2,7,1,1,0
20210510,135100,142366,0,2,8,1,1,0
20210510,135101,142668,0,2,9,1,1,0
20210510,135101,143002,0,2,10,1,1,0
20210510,135102,143801,0,2,10,2,2,0
20210510,135102,144218,0,2,11,2,2,0
20210510,135102,144467,0,2,12,2,2,0
20210510,135106,148267,1,0,18,3,3,0
20210510,135107,148635,1,0,19,3,3,0
20210510,135107,148953,1,0,20,3,3,0
20210510,135107,149085,1,0,21,3,3,0
20210510,135107,149446,1,0,22,3,3,0
20210510,135108,150250,1,0,22,4,4,0
20210510,135202,204522,0,0,6,1,1,0
20210510,135203,204625,0,0,7,1,1,0
20210510,135203,204710,0,0,8,1,1,0
20210510,135203,204863,0,0,9,1,1,0
20210510,135203,204980,0,0,10,1,1,0
20210510,135204,205780,0,0,10,2,2,0
20210510,135204,205813,0,0,11,2,2,0
20210510,135204,205946,0,0,12,2,2,0
20210510,135204,206058,0,0,13,2,2,0
20210510,135204,206163,0,0,14,2,2,0
20210510,135307,269190,1,0,23,4,4,0
20210510,135307,269379,1,0,24,4,4,0
20210510,135308,269595,1,0,25,4,4,0
20210510,135308,269812,1,0,26,4,4,0
20210510,135308,269959,1,0,27,4,4,0
20210510,135309,270762,1,0,27,5,5,0
20210510,135309,270845,1,0,28,5,5,0
20210510,135342,304094,1,0,29,5,5,0
20210510,135342,304385,1,0,30,5,5,0
20210510,135343,304613,1,0,31,5,5,0
20210510,135343,304836,1,0,32,5,5,0
20210510,135343,305071,1,0,33,5,5,0
20210510,135344,305879,1,0,33,6,6,0
20210510,135344,305987,1,0,34,6,6,0
20210510,135344,306469,1,0,35,6,6,0
20210510,135345,306715,1,0,36,6,6,0
20210510,135429,351048,1,0,37,6,6,0
20210510,135435,357195,0,0,15,2,2,0
20210510,135435,357284,0,0,16,2,2,0
20210510,135435,357368,0,0,17,2,2,0
20210510,135435,357451,0,0,18,2,2,0
20210510,135436,357547,0,0,19,2,2,0
20210510,135436,358350,0,0,19,3,3,0
20210510,135436,358385,0,0,20,3,3,0
20210510,135437,358616,0,0,21,3,3,0
