date,pcTime,msFromStart,arduinoNumber,spoutNumber,licksCum,eventsCum,rewardsCum,randomSpout
20210513,132313,146683,0,0,1,0,0,0
20210513,132313,147096,0,0,2,0,0,0
20210513,132313,147534,0,0,3,0,0,0
20210513,132314,147968,0,0,4,0,0,0
20210513,132314,148435,0,0,5,0,0,0
20210513,132315,149202,0,0,5,1,1,0
20210513,132318,152171,0,2,1,0,0,0
20210513,132318,152548,0,2,2,0,0,0
20210513,132319,152921,0,2,3,0,0,0
20210513,132319,153321,0,2,4,0,0,0
20210513,132320,153792,0,2,5,0,0,0
20210513,132320,154567,0,2,5,1,1,0
20210513,133144,658299,0,0,6,1,1,0
20210513,133144,658414,0,0,7,1,1,0
20210513,133144,658504,0,0,8,1,1,0
20210513,133144,658618,0,0,9,1,1,0
20210513,133145,658733,0,0,10,1,1,0
20210513,133145,659504,0,0,10,2,2,0
20210513,133145,659617,0,0,11,2,2,0
20210513,133146,659738,0,0,12,2,2,0
20210513,133146,659851,0,0,13,2,2,0
20210513,133146,659967,0,0,14,2,2,0
20210513,133146,660084,0,0,15,2,2,0
20210513,133146,660200,0,0,16,2,2,0
20210513,133146,660348,0,0,17,2,2,0
20210513,133146,660434,0,0,18,2,2,0
20210513,133146,660581,0,0,19,2,2,0
20210513,133147,661103,0,0,20,2,2,0
20210513,133335,769509,0,0,21,2,2,0
20210513,133335,769593,0,0,22,2,2,0
20210513,133336,769692,0,0,23,2,2,0
20210513,133336,769764,0,0,24,2,2,0
20210513,133336,769894,0,0,25,2,2,0
20210513,133337,770663,0,0,25,3,3,0
20210513,133337,770837,0,0,26,3,3,0
20210513,133337,770952,0,0,27,3,3,0
20210513,133337,771068,0,0,28,3,3,0
20210513,133337,771186,0,0,29,3,3,0
20210513,133337,771304,0,0,30,3,3,0
20210513,133337,771420,0,0,31,3,3,0
20210513,133337,771535,0,0,32,3,3,0
20210513,133453,847315,0,0,33,3,3,0
20210513,133528,882216,0,2,6,1,1,0
20210513,133528,882335,0,2,7,1,1,0
20210513,133614,927655,0,2,8,1,1,0
20210513,133614,927771,0,2,9,1,1,0
20210513,133614,927888,0,2,10,1,1,0
20210513,133615,928656,0,2,10,2,2,0
20210513,133615,928832,0,2,11,2,2,0
20210513,133615,928906,0,2,12,2,2,0
20210513,133615,929023,0,2,13,2,2,0
20210513,133615,929152,0,2,14,2,2,0
20210513,133615,929267,0,2,15,2,2,0
20210513,133615,929372,0,2,16,2,2,0
20210513,133615,929523,0,2,17,2,2,0
20210513,133616,929647,0,2,18,2,2,0
20210513,133649,963532,0,0,34,3,3,0
20210513,133649,963593,0,0,35,3,3,0
20210513,133650,963679,0,0,36,3,3,0
20210513,133650,963855,0,0,37,3,3,0
20210513,133650,964621,0,0,37,4,4,0
20210513,133651,964783,0,0,38,4,4,0
20210513,133651,965031,0,0,39,4,4,0
20210513,133651,965132,0,0,40,4,4,0
20210513,133651,965264,0,0,41,4,4,0
20210513,133835,1069533,0,2,19,2,2,0
20210513,133835,1069617,0,2,20,2,2,0
20210513,133836,1069719,0,2,21,2,2,0
20210513,133836,1069808,0,2,22,2,2,0
20210513,133836,1069894,0,2,23,2,2,0
20210513,133837,1070662,0,2,23,3,3,0
20210513,133837,1070779,0,2,24,3,3,0
20210513,133837,1070898,0,2,25,3,3,0
20210513,133837,1071012,0,2,26,3,3,0
20210513,133837,1071114,0,2,27,3,3,0
20210513,133837,1071246,0,2,28,3,3,0
20210513,133851,1084943,0,0,42,4,4,0
20210513,133851,1085003,0,0,43,4,4,0
20210513,133851,1085075,0,0,44,4,4,0
20210513,133851,1085174,0,0,45,4,4,0
20210513,133851,1085266,0,0,46,4,4,0
20210513,133852,1086036,0,0,46,5,5,0
20210513,133852,1086207,0,0,47,5,5,0
20210513,133852,1086326,0,0,48,5,5,0
20210513,133852,1086441,0,0,49,5,5,0
20210513,133852,1086556,0,0,50,5,5,0
20210513,133853,1086674,0,0,51,5,5,0
20210513,133853,1086907,0,0,52,5,5,0
20210513,133853,1087051,0,0,53,5,5,0
20210513,133853,1087141,0,0,54,5,5,0
20210513,133935,1128636,0,0,55,5,5,0
20210513,133935,1128738,0,0,56,5,5,0
20210513,133935,1128910,0,0,57,5,5,0
20210513,133935,1129000,0,0,58,5,5,0
20210513,133935,1129077,0,0,59,5,5,0
20210513,133936,1129844,0,0,59,6,6,0
20210513,133944,1137870,0,2,29,3,3,0
20210513,133944,1137970,0,2,30,3,3,0
20210513,133944,1138053,0,2,31,3,3,0
20210513,133944,1138146,0,2,32,3,3,0
20210513,133944,1138260,0,2,33,3,3,0
20210513,133945,1139031,0,2,33,4,4,0
20210513,133945,1139117,0,2,34,4,4,0
20210513,133945,1139231,0,2,35,4,4,0
20210513,133945,1139350,0,2,36,4,4,0
20210513,133947,1141236,0,2,37,4,4,0
20210513,133948,1141762,0,2,38,4,4,0
20210513,133948,1142401,0,2,39,4,4,0
20210513,133948,1142519,0,2,40,4,4,0
20210513,133949,1142635,0,2,41,4,4,0
20210513,134025,1178911,0,2,42,4,4,0
20210513,134045,1198865,0,2,43,4,4,0
20210513,134045,1199155,0,2,44,4,4,0
20210513,134045,1199328,0,2,45,4,4,0
20210513,134045,1199418,0,2,46,4,4,0
20210513,134046,1200184,0,2,46,5,5,0
20210513,134132,1245900,0,2,47,5,5,0
20210513,134132,1246250,0,2,48,5,5,0
20210513,134132,1246467,0,2,49,5,5,0
20210513,134133,1246638,0,2,50,5,5,0
20210513,134133,1246867,0,2,51,5,5,0
20210513,134133,1247634,0,2,51,6,6,0
20210513,134148,1262390,0,0,60,6,6,0
20210513,134148,1262562,0,0,61,6,6,0
20210513,134149,1262652,0,0,62,6,6,0
20210513,134151,1264832,0,0,63,6,6,0
20210513,134151,1265001,0,0,64,6,6,0
20210513,134152,1265768,0,0,64,7,7,0
20210513,134250,1323923,0,0,65,7,7,0
20210513,134250,1324008,0,0,66,7,7,0
20210513,134250,1324097,0,0,67,7,7,0
20210513,134250,1324154,0,0,68,7,7,0
20210513,134250,1324591,0,0,69,7,7,0
20210513,134251,1325358,0,0,69,8,8,0
20210513,134251,1325616,0,0,70,8,8,0
20210513,134252,1325735,0,0,71,8,8,0
20210513,134252,1325852,0,0,72,8,8,0
20210513,134252,1325969,0,0,73,8,8,0
20210513,134430,1424234,0,2,52,6,6,0
20210513,134430,1424485,0,2,53,6,6,0
20210513,134431,1424668,0,2,54,6,6,0
20210513,134431,1424868,0,2,55,6,6,0
20210513,134431,1424985,0,2,56,6,6,0
20210513,134432,1425752,0,2,56,7,7,0
20210513,134432,1425902,0,2,57,7,7,0
20210513,134432,1426020,0,2,58,7,7,0
20210513,134502,1455661,0,0,74,8,8,0
20210513,134502,1455747,0,0,75,8,8,0
20210513,134502,1455828,0,0,76,8,8,0
20210513,134502,1455946,0,0,77,8,8,0
20210513,134502,1456029,0,0,78,8,8,0
