date,pcTime,msFromStart,arduinoNumber,spoutNumber,licksCum,eventsCum,rewardsCum,randomSpout
20210513,132248,73549,0,0,1,0,0,0
20210513,132248,73929,0,0,2,0,0,0
20210513,132248,74268,0,0,3,0,0,0
20210513,132249,74685,0,0,4,0,0,0
20210513,132249,75235,0,0,5,0,0,0
20210513,132250,76002,0,0,5,1,1,0
20210513,132253,78926,0,2,1,0,0,0
20210513,132253,79306,0,2,2,0,0,0
20210513,132254,79646,0,2,3,0,0,0
20210513,132254,79996,0,2,4,0,0,0
20210513,132254,80327,0,2,5,0,0,0
20210513,132255,81096,0,2,5,1,1,0
20210513,132300,85464,1,0,1,0,0,0
20210513,132300,85875,1,0,2,0,0,0
20210513,132300,86282,1,0,3,0,0,0
20210513,132301,86694,1,0,4,0,0,0
20210513,132301,87157,1,0,5,0,0,0
20210513,132302,87931,1,0,5,1,1,0
20210513,132305,90990,1,2,1,0,0,1
20210513,132306,91425,1,2,2,0,0,1
20210513,132306,91895,1,2,3,0,0,1
20210513,132307,92391,1,2,4,0,0,1
20210513,132307,92858,1,2,5,0,0,1
20210513,132307,92878,1,2,5,1,0,1
20210513,132307,93262,1,2,6,1,0,1
20210513,132313,98696,2,0,1,0,0,0
20210513,132313,99105,2,0,2,0,0,0
20210513,132314,99543,2,0,3,0,0,0
20210513,132314,100039,2,0,4,0,0,0
20210513,132315,100506,2,0,5,0,0,0
20210513,132315,101276,2,0,5,1,1,0
20210513,132319,104798,2,2,1,0,0,1
20210513,132319,105326,2,2,2,0,0,1
20210513,132320,105793,2,2,3,0,0,1
20210513,132320,106261,2,2,4,0,0,1
20210513,132322,107690,2,2,5,0,0,1
20210513,132323,108460,2,2,5,1,1,1
20210513,132338,123735,1,0,6,1,1,0
20210513,132338,124172,1,0,7,1,1,0
20210513,132339,124588,1,0,8,1,1,0
20210513,132339,125141,1,0,9,1,1,0
20210513,132340,125636,1,0,10,1,1,0
20210513,132341,126399,1,0,10,2,2,0
20210513,132343,129265,1,2,7,1,0,1
20210513,132344,129668,1,2,8,1,0,1
20210513,132344,130103,1,2,9,1,0,1
20210513,132345,130551,1,2,10,1,0,1
20210513,132345,130985,1,2,11,1,0,1
20210513,132346,131750,1,2,11,2,1,1
20210513,132350,135820,2,0,6,1,1,0
20210513,132350,136236,2,0,7,1,1,0
20210513,132351,136642,2,0,8,1,1,0
20210513,132351,136994,2,0,9,1,1,0
20210513,132352,137466,2,0,10,1,1,0
20210513,132352,138235,2,0,10,2,2,0
20210513,132355,140968,2,2,6,1,1,1
20210513,132356,141615,2,2,7,1,1,1
20210513,132356,142082,2,2,8,1,1,1
20210513,132357,142601,2,2,9,1,1,1
20210513,132357,143130,2,2,10,1,1,1
20210513,132357,143163,2,2,10,2,1,1
20210513,132358,143535,2,2,11,2,1,1
20210513,133034,540034,0,0,6,1,1,0
20210513,133034,540161,0,0,7,1,1,0
20210513,133034,540279,0,0,8,1,1,0
20210513,133035,540385,0,0,9,1,1,0
20210513,133035,540512,0,0,10,1,1,0
20210513,133035,541276,0,0,10,2,2,0
20210513,133035,541360,0,0,11,2,2,0
20210513,133036,541596,0,0,12,2,2,0
20210513,133059,564636,0,0,13,2,2,0
20210513,133059,564756,0,0,14,2,2,0
